#,ประชาธิปัตย์:150,พลังประชารัฐ:150,อนาคตใหม่:150,ประชาชาติ:150,ภูมิใจไทย:150,เสรีรวมไทย:150,รวมพลังประชาชาติไทย:150,แทนคุณแผ่นดิน:150,เศรษฐกิจใหม่:150,ชาติไทยพัฒนา:150,เพื่อชาติ:150,กรีน:150,ประชาธิปไตยใหม่:150,พลังไทยรักไทย:150,ประชาภิวัฒน์:150,พลังสังคม:150,รักษ์ผืนป่าประเทศไทย:150,ความหวังใหม่:150,พลังชาติไทย:150,ภราดรภาพ:150,ถิ่นกาขาวชาววิไล:150,พลังไทยรักชาติ:150,พลังท้องถิ่นไท:150,ไทยศรีวิไลย์:150,พลังธรรมใหม่:150,ชาติพัฒนา:150,ประชานิยม:150,ไทรักธรรม:150,คลองไทย:150,ครูไทยเพื่อประชาชน:150,เพื่อแผ่นดิน:150,ประชาชนปฏิรูป:150,ไทยรักษาชาติ:150,เพื่อไทย:150,พลังศรัทธา:150,แผ่นดินธรรม:150,ทางเลือกใหม่:150,ประชาธรรมไทย:150,พลังไทสร้างชาติ:150,มหาชน:150,ภาคเครือข่ายไทย:150,มติประชา:150,พลังประชาธิปไตย:150,สามัญชน:150,กลาง:150,ประชากรไทย:150,พลังรัก:150,พลเมืองไทย:150,ชาติพันธุ์ไทย:150,พลังปวงชนไทย:150,ประชาไทย:150,เพื่อนไทย:150,สยามพัฒนา:150,อนาคตไทย:150,ไทยรุ่งเรือง:150,เครือข่ายชาวนาแห่งประเทศไทย:150,เพื่อชีวิตใหม่:150,ภูมิพลังเกษตรกรไทย:150,เพื่อคนไทย:150,ฐานรากไทย:150,ไทยธรรม:150,ผงึ้ หลวง:150,เพอื่ สหกรณ์ไทย:150,เพื่อไทยพัฒนา:150,พลังครูไทย:150,ประชาธิปไตยเพื่อประชาชน:150,รวมใจไทย:150,รักท้องถิ่นไทย:150,พลังไทยดี:150,สังคมประชาธิปไตยไทย:150,พลังแรงงานไทย:150,เพื่อธรรม:150,รักษ์ธรรม:150,พลังแผ่นดินทอง:150,ยางพาราไทย:150,พลังสหกรณ์:150,คนธรรมดาแห่งประเทศไทย:150,พัฒนาประเทศไทย:150,คนงานไทย:150,พลังคนกีฬา:150,กสิกรไทย:150
นครพนม-3,806,29515,12059,59,641,1823,66,0,353,294,283,0,34,148,25,0,108,0,76,0,0,0,155,137,159,389,190,163,0,529,51,15,0,33645,0,64,0,95,0,0,0,0,140,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
นครพนม-4,858,28326,7795,0,1289,1341,97,0,256,92,117,0,136,0,229,42,110,0,84,0,0,0,163,227,244,69,409,36,0,74,33,72,0,44675,0,0,0,26,0,0,0,0,77,0,0,0,0,793,0,609,0,0,0,0,0,0,0,0,1481,0,0,0,0,0,0,0,100,0,0,0,0,0,0,19,0,0,0,0,0,0,0
นครราชสีมา-1,3202,25982,23855,302,11108,2421,1062,0,3090,528,387,81,0,141,273,73,517,0,71,145,0,0,107,258,0,15526,315,37,0,103,43,252,0,15990,21,0,0,73,61,0,6,0,115,0,0,0,0,0,0,26,69,0,0,0,0,0,0,0,0,0,140,101,0,0,0,0,44,0,0,0,0,0,0,21,0,0,0,0,0,0,0
นครราชสีมา-2,2897,24518,25316,564,3423,2808,520,0,0,458,255,131,89,428,176,0,355,147,290,0,0,0,159,300,0,28216,213,79,0,225,67,206,0,18979,79,0,0,0,83,0,0,0,76,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,418,0,0,0,0,0,0,68,0,0,0,0,0,0,0
นครราชสีมา-3,1363,12441,11783,0,8746,1275,189,0,1221,0,288,74,54,135,140,151,343,0,77,0,0,0,117,438,0,27584,322,36,0,64,0,154,0,41412,0,0,0,40,24,0,0,0,0,0,0,386,0,0,0,79,69,0,0,0,0,701,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
นครราชสีมา-4,875,39774,8701,0,33674,1091,421,0,447,115,317,29,0,0,177,37,119,120,43,42,0,0,48,0,0,856,137,65,0,1128,0,50,0,14947,29,239,30,70,18,0,0,0,50,0,0,63,0,0,0,200,10,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,649,0,0,0,0,0,0,0
นครราชสีมา-5,1546,24177,10365,254,15185,0,296,0,1293,118,321,32,66,135,94,53,108,0,227,0,0,0,93,568,224,1431,141,182,0,813,0,140,0,33606,0,58,165,251,30,0,80,0,0,0,0,0,0,402,0,58,31,0,0,0,0,0,0,0,0,0,704,61,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0
นครราชสีมา-6,527,40454,7545,205,4751,860,82,0,570,88,231,41,55,45,267,28,140,0,115,0,0,0,72,0,36,829,325,118,0,61,0,28,0,26697,0,0,146,155,461,0,824,0,0,0,0,0,0,0,0,134,70,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
นครราชสีมา-7,1840,35983,9822,78,21086,1139,614,0,808,360,310,58,0,59,262,38,394,0,190,0,0,0,234,161,0,552,102,97,0,46,0,99,0,23385,0,0,0,34,26,0,0,0,0,0,0,0,0,334,0,74,41,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
นครราชสีมา-8,879,36473,8556,26,34817,933,306,0,0,467,714,33,120,252,191,43,115,0,49,0,0,0,132,997,252,823,102,77,0,40,0,156,0,12986,21,15,71,99,117,0,0,0,51,0,0,102,0,0,0,25,73,0,0,0,0,0,0,0,0,0,179,851,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
